commodity,date,qty
Candy,3/8/2016,0
Dip,3/8/2016,0
Supplement,3/9/2016,173.586
Tobacco,3/9/2016,0
Candy,3/9/2016,0
Powder,3/9/2016,0
Nut,3/9/2016,251.94
Not Available,3/9/2016,0
Instant,3/9/2016,0
Default,3/9/2016,0
BreadCrumb,3/9/2016,185.08
Dip,3/9/2016,0
Tobacco,3/10/2016,0
Supplement,3/10/2016,0
Candy,3/10/2016,0
Default,3/10/2016,0
Dip,3/10/2016,0
Instant,3/10/2016,0
Not Available,3/10/2016,0
Nut,3/10/2016,0
Powder,3/10/2016,0
BreadCrumb,3/10/2016,0
Default,3/11/2016,0
Tobacco,3/11/2016,0
Supplement,3/11/2016,0
Powder,3/11/2016,0
Nut,3/11/2016,700.676
Not Available,3/11/2016,0
Instant,3/11/2016,0
Dip,3/11/2016,0
Candy,3/11/2016,0
BreadCrumb,3/11/2016,0
Supplement,3/12/2016,0
BreadCrumb,3/12/2016,0
Candy,3/12/2016,0
Tobacco,3/12/2016,0
Dip,3/12/2016,0
Instant,3/12/2016,0
Not Available,3/12/2016,0
Nut,3/12/2016,0
Powder,3/12/2016,0
Default,3/12/2016,0
Supplement,3/13/2016,0
Powder,3/13/2016,0
Candy,3/13/2016,0
Default,3/13/2016,0
BreadCrumb,3/13/2016,0
Instant,3/13/2016,0
Not Available,3/13/2016,0
Nut,3/13/2016,0
Tobacco,3/13/2016,0
Dip,3/13/2016,0
Tobacco,3/14/2016,0
Supplement,3/14/2016,0
Powder,3/14/2016,0
Nut,3/14/2016,2521.812
Not Available,3/14/2016,0
Dip,3/14/2016,0
Default,3/14/2016,0
Candy,3/14/2016,0
BreadCrumb,3/14/2016,0
Instant,3/14/2016,0
Default,3/15/2016,0
BreadCrumb,3/15/2016,0
Candy,3/15/2016,0
Dip,3/15/2016,0
Tobacco,3/15/2016,0
Supplement,3/15/2016,62.208
Powder,3/15/2016,0
Nut,3/15/2016,755.248
Not Available,3/15/2016,0
Instant,3/15/2016,0
Tobacco,3/16/2016,0
Powder,3/16/2016,0
Nut,3/16/2016,530.316
Not Available,3/16/2016,0
Instant,3/16/2016,0
Dip,3/16/2016,0
Default,3/16/2016,0
Candy,3/16/2016,0
BreadCrumb,3/16/2016,0
Supplement,3/16/2016,0
Dip,3/17/2016,0
Default,3/17/2016,0
Instant,3/17/2016,0
Tobacco,3/17/2016,0
Supplement,3/17/2016,0
Candy,3/17/2016,0
Nut,3/17/2016,1961.352
Not Available,3/17/2016,0
BreadCrumb,3/17/2016,0
Powder,3/17/2016,0
BreadCrumb,3/18/2016,0
Candy,3/18/2016,0
Dip,3/18/2016,0
Instant,3/18/2016,0
Not Available,3/18/2016,0
Nut,3/18/2016,848.9
Powder,3/18/2016,0
Supplement,3/18/2016,0
Tobacco,3/18/2016,0
Default,3/18/2016,0
Nut,3/19/2016,0
BreadCrumb,3/19/2016,0
Candy,3/19/2016,0
Default,3/19/2016,0
Dip,3/19/2016,0
Instant,3/19/2016,0
Not Available,3/19/2016,0
Powder,3/19/2016,0
Supplement,3/19/2016,0
Tobacco,3/19/2016,0
Tobacco,3/20/2016,0
Dip,3/20/2016,0
Default,3/20/2016,0
Not Available,3/20/2016,0
Candy,3/20/2016,0
Nut,3/20/2016,0
Powder,3/20/2016,0
Supplement,3/20/2016,0
BreadCrumb,3/20/2016,0
Instant,3/20/2016,0
BreadCrumb,3/21/2016,0
Candy,3/21/2016,0
Default,3/21/2016,0
Dip,3/21/2016,0
Instant,3/21/2016,0
Not Available,3/21/2016,0
Nut,3/21/2016,2661.884
Powder,3/21/2016,0
Supplement,3/21/2016,50
Tobacco,3/21/2016,0
Dip,3/22/2016,0
Default,3/22/2016,0
Instant,3/22/2016,0
Not Available,3/22/2016,0
Nut,3/22/2016,836.482
Powder,3/22/2016,0
Supplement,3/22/2016,0
Tobacco,3/22/2016,0
Candy,3/22/2016,0
BreadCrumb,3/22/2016,0
Tobacco,3/23/2016,0
Supplement,3/23/2016,41.184
Powder,3/23/2016,0
Nut,3/23/2016,697.746
Instant,3/23/2016,0
Dip,3/23/2016,0
Default,3/23/2016,0
Candy,3/23/2016,0
BreadCrumb,3/23/2016,0
Not Available,3/23/2016,0
Powder,3/24/2016,0
Tobacco,3/24/2016,0
Supplement,3/24/2016,0
Nut,3/24/2016,477.088
Default,3/24/2016,0
Instant,3/24/2016,0
Dip,3/24/2016,0
Candy,3/24/2016,0
BreadCrumb,3/24/2016,0
Not Available,3/24/2016,0
Tobacco,3/25/2016,0
Candy,3/25/2016,0
Default,3/25/2016,0
Dip,3/25/2016,0
Instant,3/25/2016,0
Not Available,3/25/2016,0
Nut,3/25/2016,1035.704
Powder,3/25/2016,0
Supplement,3/25/2016,0
BreadCrumb,3/25/2016,0
BreadCrumb,3/26/2016,0
Tobacco,3/26/2016,0
Candy,3/26/2016,0
Default,3/26/2016,0
Dip,3/26/2016,0
Instant,3/26/2016,0
Not Available,3/26/2016,0
Nut,3/26/2016,0
Powder,3/26/2016,0
Supplement,3/26/2016,0
Nut,3/27/2016,0
Not Available,3/27/2016,0
Instant,3/27/2016,0
Dip,3/27/2016,0
Supplement,3/27/2016,0
Candy,3/27/2016,0
BreadCrumb,3/27/2016,0
Powder,3/27/2016,0
Default,3/27/2016,0
Tobacco,3/27/2016,0
BreadCrumb,3/28/2016,0
Candy,3/28/2016,0
Dip,3/28/2016,0
Instant,3/28/2016,0
Not Available,3/28/2016,0
Nut,3/28/2016,1596
Powder,3/28/2016,0
Supplement,3/28/2016,0
Tobacco,3/28/2016,0
Default,3/28/2016,0
BreadCrumb,3/29/2016,0
Powder,3/29/2016,0
Nut,3/29/2016,0
Not Available,3/29/2016,0
Instant,3/29/2016,0
Dip,3/29/2016,0
Default,3/29/2016,0
Candy,3/29/2016,0
Supplement,3/29/2016,0
Tobacco,3/29/2016,0
Instant,3/30/2016,0
BreadCrumb,3/30/2016,0
Candy,3/30/2016,0
Default,3/30/2016,0
Dip,3/30/2016,0
Not Available,3/30/2016,0
Nut,3/30/2016,717.336
Powder,3/30/2016,0
Supplement,3/30/2016,0
Tobacco,3/30/2016,0
Instant,3/31/2016,0
Powder,3/31/2016,0
Nut,3/31/2016,371.592
Not Available,3/31/2016,0
Tobacco,3/31/2016,0
Supplement,3/31/2016,0
Default,3/31/2016,0
Candy,3/31/2016,0
BreadCrumb,3/31/2016,0
Dip,3/31/2016,0
Tobacco,4/1/2016,0
Supplement,4/1/2016,0
Powder,4/1/2016,0
Nut,4/1/2016,2089.368
Not Available,4/1/2016,0
Instant,4/1/2016,0
Default,4/1/2016,0
Candy,4/1/2016,0
BreadCrumb,4/1/2016,0
Dip,4/1/2016,0
Candy,4/2/2016,0
Tobacco,4/2/2016,0
Default,4/2/2016,0
Dip,4/2/2016,0
Instant,4/2/2016,0
Not Available,4/2/2016,0
Nut,4/2/2016,0
Powder,4/2/2016,0
Supplement,4/2/2016,0
BreadCrumb,4/2/2016,0
Powder,4/3/2016,0
Candy,4/3/2016,0
Default,4/3/2016,0
Dip,4/3/2016,0
Instant,4/3/2016,0
Not Available,4/3/2016,0
Nut,4/3/2016,0
BreadCrumb,4/3/2016,0
Supplement,4/3/2016,0
Tobacco,4/3/2016,0
Candy,4/4/2016,0
Not Available,4/4/2016,0
Supplement,4/4/2016,0
Tobacco,4/4/2016,0
Nut,4/4/2016,393.504
Instant,4/4/2016,0
Powder,4/4/2016,0
BreadCrumb,4/4/2016,0
Default,4/4/2016,0
Dip,4/4/2016,0
BreadCrumb,4/5/2016,166.32
Candy,4/5/2016,0
Default,4/5/2016,0
Dip,4/5/2016,0
Instant,4/5/2016,0
Not Available,4/5/2016,0
Nut,4/5/2016,907.012
Powder,4/5/2016,0
Supplement,4/5/2016,0
Tobacco,4/5/2016,0
Default,4/6/2016,0
BreadCrumb,4/6/2016,0
Candy,4/6/2016,0
Not Available,4/6/2016,0
Instant,4/6/2016,0
Nut,4/6/2016,580.936
Powder,4/6/2016,0
Supplement,4/6/2016,0
Tobacco,4/6/2016,0
Dip,4/6/2016,0
Supplement,4/7/2016,0
Powder,4/7/2016,0
Nut,4/7/2016,337.116
Not Available,4/7/2016,0
Instant,4/7/2016,0
Default,4/7/2016,0
Candy,4/7/2016,0
BreadCrumb,4/7/2016,0
Dip,4/7/2016,0
Tobacco,4/7/2016,0
Tobacco,4/8/2016,0
Supplement,4/8/2016,229.608
Nut,4/8/2016,2273.712
Powder,4/8/2016,0
Instant,4/8/2016,0
Not Available,4/8/2016,0
Default,4/8/2016,0
Candy,4/8/2016,0
BreadCrumb,4/8/2016,0
Dip,4/8/2016,0
BreadCrumb,4/9/2016,0
Candy,4/9/2016,0
Default,4/9/2016,0
Dip,4/9/2016,0
Instant,4/9/2016,0
Not Available,4/9/2016,0
Nut,4/9/2016,546.956
Powder,4/9/2016,0
Tobacco,4/9/2016,0
Supplement,4/9/2016,0
Candy,4/10/2016,0
Default,4/10/2016,0
Dip,4/10/2016,0
Instant,4/10/2016,0
BreadCrumb,4/10/2016,0
Nut,4/10/2016,0
Supplement,4/10/2016,0
Tobacco,4/10/2016,0
Not Available,4/10/2016,0
Powder,4/10/2016,0
BreadCrumb,4/11/2016,0
Candy,4/11/2016,0
Default,4/11/2016,0
Dip,4/11/2016,0
Instant,4/11/2016,0
Not Available,4/11/2016,0
Nut,4/11/2016,920.912
Powder,4/11/2016,0
Supplement,4/11/2016,0
Tobacco,4/11/2016,0
Not Available,4/12/2016,0
Supplement,4/12/2016,0
Powder,4/12/2016,0
Nut,4/12/2016,648.516
Instant,4/12/2016,0
Dip,4/12/2016,0
Default,4/12/2016,0
Candy,4/12/2016,0
BreadCrumb,4/12/2016,0
Tobacco,4/12/2016,0
Candy,4/13/2016,0
Default,4/13/2016,0
